age,marital,dwelling,edu,foodins,weight,female,immigr,rural,children,household,joblose,finimpact,pfg,anx2,nmissingvars,finimp3,fooddich,_est_est1,_est_est2,_est_est3,_est_est4
"65 to 74 years old","Widowed/Separated/Divorced","Other","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",3997.816,0,0,0,"No Child",1,"Valid skip","Minor",1,0,0,"Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","High-rise apartment 5 or more stories","University certificate, diploma, degree above the BA level","Food secure",2986.169,0,1,0,"No Child",3,"Might lose","Major",1,1,0,"Impact",0,1,1,1,1
"45 to 54 years old","Never married","Single detached house","College/CEGEP/other non-university certificate or diploma","Severely food insecure",3004.75,0,0,0,"No Child",1,"Valid skip","Moderate",1,0,1,"Impact",1,1,1,1,1
"55 to 64 years old","Widowed/Separated/Divorced","Single detached house","Trade certificate or diploma","Moderately food insecure",676.1209,0,1,1,"No Child",1,"Not expected","Too soon",0,0,0,"Too soon",1,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","University certificate or diploma below the bachelor's level","Food secure",6521.819,0,1,1,"No Child",3,"Not expected","No impact",0,0,0,"No Impact",0,1,1,1,1
"45 to 54 years old","Never married","Low-rise apartment less than 5 stories","High school diploma or a high school equivalency certificate","Food secure",3602.081,0,0,0,"No Child",1,"Valid skip","Minor",1,1,0,"Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","College/CEGEP/other non-university certificate or diploma","Food secure",2048.56,0,0,0,"No Child",3,"Not expected","Minor",0,0,0,"Impact",0,1,1,1,1
"45 to 54 years old","Widowed/Separated/Divorced","Single detached house","University certificate, diploma, degree above the BA level","Food secure",11136.84,0,0,0,"No Child",3,"Not expected","Too soon",1,1,0,"Too soon",0,1,1,1,1
"55 to 64 years old","Married/Common law","Other","High school diploma or a high school equivalency certificate","Food secure",14514.4,0,1,0,"No Child",2,"Valid skip","Minor",1,0,0,"Impact",0,1,1,1,1
"75 years and older","Married/Common law","Single detached house","High school diploma or a high school equivalency certificate","Marginally food insecure",8080.806,0,0,1,"No Child",2,"Valid skip","Minor",1,0,0,"Impact",1,1,1,1,1
"65 to 74 years old","Married/Common law","Other","High school diploma or a high school equivalency certificate","Food secure",19460.07,0,1,0,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","High school diploma or a high school equivalency certificate","Food secure",2091.135,0,0,0,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Widowed/Separated/Divorced","Single detached house","High school diploma or a high school equivalency certificate","Food secure",3435.943,0,0,1,"No Child",1,"Not expected","Moderate",1,0,0,"Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","University certificate or diploma below the bachelor's level","Food secure",1737.474,0,0,1,"No Child",2,"Valid skip","Minor",1,0,0,"Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","University certificate, diploma, degree above the BA level","Food secure",14605.18,0,0,0,"No Child",2,"Valid skip","Minor",0,0,0,"Impact",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Food secure",1184.946,0,0,0,"No Child",2,"Valid skip","No impact",0,0,0,"No Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","University certificate, diploma, degree above the BA level","Food secure",6441.881,0,0,0,"No Child",2,"Valid skip","Too soon",0,0,0,"Too soon",0,1,1,1,1
"55 to 64 years old","Widowed/Separated/Divorced","Single detached house","Trade certificate or diploma","Food secure",1056.014,0,0,0,"No Child",1,"Might lose","Minor",1,0,0,"Impact",0,1,1,1,1
"65 to 74 years old","Married/Common law","Single detached house","Trade certificate or diploma","Food secure",4178.271,0,0,0,"No Child",2,"Valid skip","Major",0,0,1,"Impact",0,1,1,1,1
"75 years and older","Married/Common law","Single detached house","High school diploma or a high school equivalency certificate","Food secure",3471.729,0,0,0,"No Child",2,"Valid skip","Too soon",0,0,1,"Too soon",0,1,1,1,1
"55 to 64 years old","Married/Common law","Single detached house","Trade certificate or diploma","Food secure",10827.71,0,0,0,"No Child",3,"Might lose","Too soon",0,0,0,"Too soon",0,1,1,1,1
