age,marital,dwelling,edu,foodins,weight,female,immigr,rural,children,household,joblose,finimpact,pfg,anx2,nmissingvars,finimp3,fooddich,_est_est1,_est_est2,_est_est3,_est_est4
6,2,4,6,0,3997.816,0,0,0,0,1,9,2,1,0,0,2,0,1,1,1,1
6,1,3,7,0,2986.169,0,1,0,0,3,1,4,1,1,0,2,0,1,1,1,1
4,3,1,4,3,3004.75,0,0,0,0,1,9,3,1,0,1,2,1,1,1,1,1
5,2,1,3,2,676.1209,0,1,1,0,1,0,5,0,0,0,3,1,1,1,1,1
6,1,1,5,0,6521.819,0,1,1,0,3,0,1,0,0,0,1,0,1,1,1,1
4,3,2,2,0,3602.081,0,0,0,0,1,9,2,1,1,0,2,0,1,1,1,1
6,1,1,4,0,2048.56,0,0,0,0,3,0,2,0,0,0,2,0,1,1,1,1
4,2,1,7,0,11136.84,0,0,0,0,3,0,5,1,1,0,3,0,1,1,1,1
5,1,4,2,0,14514.4,0,1,0,0,2,9,2,1,0,0,2,0,1,1,1,1
7,1,1,2,1,8080.806,0,0,1,0,2,9,2,1,0,0,2,1,1,1,1,1
6,1,4,2,0,19460.07,0,1,0,0,2,9,1,0,0,0,1,0,1,1,1,1
6,1,1,2,0,2091.135,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
6,2,1,2,0,3435.943,0,0,1,0,1,0,3,1,0,0,2,0,1,1,1,1
6,1,1,5,0,1737.474,0,0,1,0,2,9,2,1,0,0,2,0,1,1,1,1
6,1,1,7,0,14605.18,0,0,0,0,2,9,2,0,0,0,2,0,1,1,1,1
5,1,1,6,0,1184.946,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
6,1,1,7,0,6441.881,0,0,0,0,2,9,5,0,0,0,3,0,1,1,1,1
5,2,1,3,0,1056.014,0,0,0,0,1,1,2,1,0,0,2,0,1,1,1,1
6,1,1,3,0,4178.271,0,0,0,0,2,9,4,0,0,1,2,0,1,1,1,1
7,1,1,2,0,3471.729,0,0,0,0,2,9,5,0,0,1,3,0,1,1,1,1
5,1,1,3,0,10827.71,0,0,0,0,3,1,5,0,0,0,3,0,1,1,1,1
4,3,1,6,0,6552.496,0,0,0,0,1,1,3,0,0,0,2,0,1,1,1,1
3,1,4,6,0,1598.682,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1
4,1,4,6,0,3931.776,0,0,0,0,3,0,2,1,0,0,2,0,1,1,1,1
5,1,1,4,0,1688.23,0,0,0,0,2,0,3,0,1,0,2,0,1,1,1,1
6,1,1,2,0,3815.176,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1
5,1,1,2,0,4459.307,0,0,0,0,2,9,3,0,0,0,2,0,1,1,1,1
3,3,4,7,3,7407.479,0,0,0,0,3,9,3,1,0,0,2,1,1,1,1,1
5,1,1,4,0,4073.251,0,1,0,0,2,1,3,0,0,0,2,0,1,1,1,1
4,3,1,6,0,832.2673,0,0,0,0,1,0,3,0,0,0,2,0,1,1,1,1
3,3,3,7,0,5327.783,0,0,0,0,1,0,3,0,0,0,2,0,1,1,1,1
5,1,1,7,0,13514.42,0,0,0,0,4,0,1,0,0,0,1,0,1,1,1,1
4,1,1,6,0,1671.508,0,0,1,0,4,0,1,0,0,0,1,0,1,1,1,1
4,1,1,6,0,4829.481,0,0,0,0,2,1,2,1,0,0,2,0,1,1,1,1
7,1,1,2,0,1851.504,0,0,0,0,2,9,1,1,0,0,1,0,1,1,1,1
7,2,1,7,0,336.8524,0,1,0,0,1,9,1,1,0,1,1,0,1,1,1,1
2,1,1,2,0,63625.67,0,0,0,0,2,0,5,0,0,0,3,0,1,1,1,1
4,2,3,7,0,10535.79,0,0,0,0,2,9,1,1,0,0,1,0,1,1,1,1
5,1,1,5,0,1440.543,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1
5,1,1,4,0,31948.73,0,1,0,0,3,0,1,0,0,0,1,0,1,1,1,1
2,3,1,3,1,3217.969,0,0,1,0,1,9,5,0,0,0,3,1,1,1,1,1
4,1,1,6,0,7803.768,0,1,0,0,3,0,2,1,1,0,2,0,1,1,1,1
6,1,1,2,0,1786.668,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
5,1,1,6,0,2411.545,0,0,1,0,2,9,1,0,0,1,1,0,1,1,1,1
6,2,4,5,0,1129.359,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1
4,1,4,1,0,33452.33,0,0,0,0,3,9,1,1,0,0,1,0,1,1,1,1
4,1,1,2,0,18205.9,0,0,0,0,3,0,1,0,0,0,1,0,1,1,1,1
5,1,1,7,0,1225.307,0,1,0,0,2,0,1,0,0,0,1,0,1,1,1,1
5,1,1,5,0,5660.295,0,0,1,0,2,9,1,0,0,0,1,0,1,1,1,1
2,3,1,4,0,1774.056,0,0,0,0,1,0,4,1,0,0,2,0,1,1,1,1
4,1,3,4,0,9199.771,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
4,3,2,2,0,4912.465,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1
6,1,1,7,2,721.4238,0,0,0,0,2,9,1,0,0,0,1,1,1,1,1,1
2,1,1,6,0,3832.718,0,0,0,0,3,0,2,1,0,0,2,0,1,1,1,1
7,1,1,6,0,2524.942,0,0,0,0,2,9,5,0,0,0,3,0,1,1,1,1
5,1,1,6,0,7746.047,0,1,0,0,2,0,1,0,0,0,1,0,1,1,1,1
6,2,1,2,0,3167.821,0,1,1,0,1,1,5,0,0,0,3,0,1,1,1,1
5,1,1,4,0,3026.292,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1
6,1,4,1,0,4510.61,0,0,0,0,2,9,1,0,0,1,1,0,1,1,1,1
5,1,4,1,0,5832.371,0,0,0,0,2,9,1,1,0,0,1,0,1,1,1,1
6,1,1,3,0,3972.12,0,0,1,0,2,9,1,0,0,0,1,0,1,1,1,1
5,1,3,6,0,7936.99,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1
5,1,1,1,0,4843.548,0,0,0,0,2,9,1,0,0,0,1,0,1,1,1,1
4,2,1,6,0,2264.228,0,1,0,0,1,0,4,1,0,0,2,0,1,1,1,1
4,1,1,6,0,1624.534,0,0,0,0,2,9,2,1,0,0,2,0,1,1,1,1
5,3,3,4,0,4512.659,0,0,0,0,1,9,4,0,0,0,2,0,1,1,1,1
3,2,2,1,1,10358.33,0,0,0,0,1,9,2,1,0,1,2,1,1,1,1,1
5,2,1,3,0,1313.061,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1
6,1,1,4,0,3647.838,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1
2,3,1,6,0,5431.2,0,0,0,0,1,0,5,1,1,0,3,0,1,1,1,1
4,1,1,6,0,2127.729,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1
7,1,1,6,0,23175.51,0,1,0,0,2,9,1,0,0,0,1,0,1,1,1,1
5,3,1,1,0,3596.905,0,0,1,0,1,9,2,1,0,0,2,0,1,1,1,1
4,1,4,5,0,3621.774,0,0,0,0,4,0,1,1,0,0,1,0,1,1,1,1
3,1,4,6,0,8881.338,0,0,0,0,3,0,1,0,0,0,1,0,1,1,1,1
7,1,1,3,0,2336.644,0,0,0,0,2,9,5,1,1,0,3,0,1,1,1,1
4,3,2,6,0,934.9178,0,0,0,0,1,0,2,1,1,0,2,0,1,1,1,1
4,1,1,2,0,4737.368,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1
4,1,4,2,0,4297.228,0,0,0,0,2,0,2,0,0,0,2,0,1,1,1,1
5,1,1,4,0,4022.918,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,1
6,1,1,7,0,7287.682,0,0,0,0,3,9,1,0,0,0,1,0,1,1,1,1
3,1,1,4,0,665.4406,0,0,0,0,1,1,4,0,0,0,2,0,1,1,1,1
7,1,1,5,0,1465.461,0,0,0,0,4,9,2,0,0,0,2,0,1,1,1,1
